className,totalReviewedCommits,normalizedCommitExp,gold
u,3603,15.078468298807282,-1.0
u,178,0.7449257166771291,-1.0
u,134,0.560786775476041,-1.0
u,122,0.5105670642393806,-1.0
u,162,0.6779661016949152,-1.0
nu,73,0.1418246813801678,-1.0
nu,0,0.0,1.0
nu,221,0.4293596518495492,-1.0
nu,1478,2.871464096984768,1.0
nu,1478,2.871464096984768,-1.0
nu,171,0.3322194591234069,-1.0
nu,171,0.3322194591234069,1.0
nu,1554,3.019117189928505,-1.0
nu,1811,3.5184177805408763,-1.0
nu,1554,3.019117189928505,-1.0
nu,71,0.1379390736711221,-1.0
nu,71,0.1379390736711221,1.0
nu,1800,3.4970469381411253,-1.0
nu,1426,2.7704382965495804,-1.0
nu,1426,2.7704382965495804,1.0
nu,1511,2.9355766241840224,1.0
nu,494,0.9597451041342866,-1.0
nu,492,0.9558594964252408,-1.0
nu,490,0.9519738887161951,-1.0
nu,307,0.5964407833385141,-1.0
nu,63,0.1223966428349393,1.0
nu,206,0.4002175940317066,1.0
nu,287,0.5575847062480572,-1.0
nu,287,0.5575847062480572,-1.0
nu,1724,3.349393845197389,-1.0
nu,134,0.2603357165060616,-1.0
nu,132,0.2564501087970158,-1.0
nu,132,0.2564501087970158,1.0
nu,1338,2.5994715573515697,1.0
nu,472,0.917003419334784,1.0
nu,1338,2.5994715573515697,-1.0
nu,1082,2.102113770593721,-1.0
nu,1082,2.102113770593721,-1.0
nu,1082,2.102113770593721,-1.0
nu,639,6.536415711947627,1.0
nu,559,5.718085106382978,1.0
nu,23,0.2352700490998363,-1.0
nu,29,0.2966448445171849,1.0
nu,556,5.687397708674304,-1.0
nu,26,0.2659574468085106,-1.0
nu,22,0.2250409165302782,1.0
nu,967,9.891571194762683,1.0
nu,967,9.891571194762683,-1.0
nu,962,9.840425531914894,-1.0
nu,955,9.768821603927986,1.0
nu,955,9.768821603927986,1.0
nu,955,9.768821603927986,-1.0
nu,16,0.1636661211129296,1.0
nu,1722,17.614566284779052,1.0
nu,130,1.3297872340425532,-1.0
nu,130,1.3297872340425532,-1.0
nu,2149,21.98240589198036,-1.0
nu,453,4.63379705400982,-1.0
nu,910,9.308510638297872,1.0
nu,816,8.346972176759412,1.0
nu,907,9.277823240589198,1.0
nu,726,7.426350245499182,1.0
nu,726,7.426350245499182,1.0
nu,664,6.79214402618658,1.0
nu,1813,18.54541734860884,1.0
nu,158,1.61620294599018,1.0
nu,1799,18.402209492635023,-1.0
nu,401,4.101882160392798,1.0
nu,1155,11.814648117839608,-1.0
nu,150,1.534369885433715,-1.0
nu,150,1.534369885433715,1.0
nu,281,2.8743862520458263,-1.0
nu,1660,16.98036006546645,-1.0
nu,1660,16.98036006546645,-1.0
nu,805,8.234451718494272,1.0
nu,37,0.3616813294232649,1.0
nu,139,1.358748778103617,1.0
nu,1589,15.532746823069404,1.0
nu,43,0.4203323558162268,-1.0
nu,1578,15.425219941348974,1.0
nu,1578,15.425219941348974,1.0
nu,1546,15.112414467253178,1.0
nu,1546,15.112414467253178,-1.0
nu,389,3.802541544477029,1.0
nu,558,5.454545454545454,1.0
nu,34,0.3323558162267839,-1.0
nu,31,0.303030303030303,-1.0
nu,31,0.303030303030303,-1.0
nu,1,0.0097751710654936,1.0
nu,1468,14.349951124144672,1.0
nu,0,0.0,-1.0
nu,110,1.0752688172043012,-1.0
nu,478,4.672531769305962,-1.0
nu,273,2.6686217008797657,1.0
nu,51,0.2134337727558066,1.0
nu,24,0.1004394224733207,1.0
nu,149,0.6235614145218665,1.0
nu,44,0.1841389412010881,-1.0
nu,1262,5.281439631722118,1.0
nu,16,0.0669596149822138,-1.0
nu,1041,4.356559949780289,-1.0
nu,3650,15.275162167817536,-1.0
nu,957,4.005021971123666,1.0
nu,222,0.9290646578782172,1.0
nu,19,0.0795145427913789,1.0
nu,1089,4.557438794726931,1.0
nu,821,3.435865243774848,1.0
nu,817,3.419125340029295,1.0
nu,51,0.2134337727558066,-1.0
nu,53,0.2218037246285833,1.0
nu,1033,4.323080142289182,-1.0
nu,812,3.398200460347353,-1.0
nu,335,1.4019669386901026,-1.0
nu,1033,4.323080142289182,-1.0
nu,798,3.339610797237916,-1.0
nu,1025,4.289600334798075,1.0
nu,100,0.4184975936388366,1.0
nu,1019,4.264490479179744,-1.0
nu,300,1.2554927809165095,-1.0
nu,153,0.64030131826742,1.0
nu,153,0.64030131826742,-1.0
nu,46,0.1925088930738648,1.0
nu,153,0.64030131826742,1.0
nu,31,0.1297342540280393,-1.0
nu,31,0.1297342540280393,1.0
nu,197,0.8244402594685081,1.0
nu,189,0.7909604519774011,1.0
nu,463,1.9376438585478133,-1.0
nu,974,4.0761665620422685,1.0
nu,38,0.1590290855827579,-1.0
nu,129,0.5398618957940993,-1.0
nu,1326,5.549278091650973,-1.0
nu,19,0.0795145427913789,-1.0
nu,104,0.43523749738439,1.0
nu,104,0.43523749738439,-1.0
