className,reviewedCommitsFile,normalizedFileExp,gold
nu,4,0.1192605843768634,1.0
nu,2,0.0596302921884317,1.0
nu,1,0.0298151460942158,1.0
nu,25,0.7453786523553966,1.0
nu,2,0.0596302921884317,1.0
nu,2,0.0596302921884317,1.0
nu,0,0.0,-1.0
nu,1,0.0298151460942158,1.0
nu,1,0.0298151460942158,-1.0
nu,2,0.0596302921884317,-1.0
nu,0,0.0,-1.0
nu,13,0.3875968992248062,-1.0
nu,2,0.0596302921884317,-1.0
nu,4,0.1192605843768634,1.0
nu,6,0.1788908765652951,1.0
nu,43,1.282051282051282,-1.0
nu,7,0.208706022659511,-1.0
nu,2,0.0596302921884317,1.0
nu,2,0.0596302921884317,-1.0
nu,2,0.0596302921884317,1.0
nu,10,0.2981514609421586,1.0
nu,6,0.1788908765652951,-1.0
