c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
711216703-15356-u,u,100.0,100.0,0.076923077,0.0,0.615384615,0.615384615,0.161291484,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711216892-15356-u,u,100.0,100.0,0.1,0.0,0.5,0.5,0.152777778,6,1,283,0,0,5755,3518,0.0,0.0,0.0
711636084-15356-u,u,80.59263514,80.59263514,0.022222222,0.0,0.444444444,0.533333333,0.11990279,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711682484-15356-u,u,91.29470588,91.29470588,0.013513514,0.0,0.554054054,0.621621622,0.137158517,12,1,283,1,14,5755,3518,0.0,-1.0,-1.0
711636107-15356-u,u,33.575,33.575,0.25,0.0,0.75,0.75,0.0,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711636449-15356-u,u,63.865,63.865,0.023255814,0.0,0.534883721,0.558139535,0.154539867,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711682787-15356-u,u,84.9,84.9,0.1,0.0,0.6,0.6,0.0,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711763992-15356-u,u,28.5,28.5,0.111111111,0.0,0.444444444,0.444444444,0.153894739,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711764221-15356-u,u,71.815,71.815,0.058823529,0.0,0.470588235,0.588235294,0.144927536,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711764458-15356-u,u,100.0,100.0,0.029411765,0.0,0.352941176,0.382352941,0.476768151,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711764516-15356-u,u,100.0,100.0,0.166666667,0.0,0.333333333,0.333333333,0.087498312,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711765261-15356-u,u,69.99384615,69.99384615,0.076923077,0.0,0.461538462,0.461538462,0.23671361,6,1,283,0,0,5755,3518,0.0,0.0,1.0
711765421-15356-u,u,100.0,100.0,0.1,0.0,0.3,0.3,0.156417604,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711765540-15356-u,u,72.61545455,72.61545455,0.076923077,0.0,0.384615385,0.384615385,0.234147763,6,1,283,0,0,5755,3518,0.0,0.0,0.0
711870100-15356-u,u,80.25,80.25,0.035714286,0.0,0.535714286,0.535714286,0.177576558,6,1,283,0,0,5755,3518,0.0,0.0,0.0
708804465-15355-u,u,65.29590909,74.805,0.641025641,0.0,0.128205128,0.128205128,0.258774974,0,0,580,0,0,5755,3518,0.0,0.0,0.0
709620975-15355-u,u,95.68818182,95.68818182,0.090909091,0.0,0.454545455,0.454545455,0.064810942,0,0,580,0,0,5755,3518,0.0,0.0,0.0
709294783-15342-u,u,0.0,36.62,0.684210526,0.0,0.0,0.0,0.145236734,0,0,1,0,0,5753,3514,0.0,0.0,0.0
709375148-15342-u,u,89.59210526,89.59210526,0.025,0.5,0.575,0.575,0.217642875,12,1,283,0,0,5753,3514,0.0,0.0,0.0
