c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
720018839-14935-nu,nu,100.0,100.0,0.229508197,0.333333333,0.295081967,0.295081967,0.213695189,0,0,0,0,0,5595,3337,0.0,0.0,0.0
719971183-14935-nu,nu,85.13947368,85.13947368,0.047619048,0.0,0.380952381,0.380952381,0.178235958,0,0,94,1,7,5607,3338,0.0,0.0,0.0
948862596-14935-nu,nu,100.0,100.0,0.025,0.333333333,0.3,0.3,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
900950735-14750-nu,nu,76.50153846,76.50153846,0.071428571,1.0,0.5,0.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
901289889-14750-nu,nu,87.27,96.02461538,0.142857143,0.5,0.428571429,0.428571429,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
654976790-14748-nu,nu,87.945,87.945,0.166666667,1.0,0.5,0.5,0.076740271,2,1,580,0,0,5491,3225,0.0,0.0,0.0
865400437-14748-nu,nu,11.355,18.44428571,0.428571429,0.0,0.285714286,0.428571429,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
866182172-14748-nu,nu,63.67147727,97.65153846,0.125,0.0,0.4375,0.4375,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
544907333-13477-nu,nu,57.23363636,40.09,0.266666667,0.0,0.333333333,0.333333333,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
337469914-13477-nu,nu,100.0,100.0,0.352112676,0.333333333,0.38028169,0.408450704,0.129358421,0,0,0,0,0,0,0,0.0,0.0,0.0
318736730-13256-nu,nu,69.10833333,70.8111828,0.057142857,0.333333333,0.342857143,0.342857143,0.0,50,1,580,1,43,4999,2890,0.0,0.0,0.0
281031033-13256-nu,nu,88.21,89.97968992,0.06122449,1.0,0.428571429,0.428571429,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
279200998-12751-nu,nu,67.59012579,67.59012579,0.018181818,0.0,0.527272727,0.527272727,0.067241481,0,0,6,1,10,4812,2854,0.0,1.0,1.0
228856333-12675-nu,nu,81.72731183,81.72731183,0.03030303,0.333333333,0.272727273,0.272727273,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
222387470-12568-nu,nu,62.79,62.79,0.25,0.0,0.5,0.5,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
265953022-12336-nu,nu,95.73,88.905,0.235294118,1.0,0.411764706,0.411764706,0.139009609,108,1,152,1,77,4722,2861,0.0,0.0,0.0
257856493-12299-nu,nu,89.2435,89.2435,0.034482759,0.0,0.413793103,0.413793103,0.180233442,0,0,0,0,0,0,0,0.292174355,0.0,0.0
260620928-12299-nu,nu,39.555,39.555,0.071428571,1.0,0.5,0.5,0.148759643,0,0,0,0,0,0,0,0.292174355,0.0,0.0
215431102-12299-nu,nu,100.0,100.0,0.142857143,0.0,0.714285714,0.714285714,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
200888194-12205-nu,nu,100.0,100.0,0.083333333,0.0,0.166666667,0.166666667,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
199859890-12203-nu,nu,100.0,100.0,0.047619048,0.0,0.571428571,0.571428571,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
200874472-12203-nu,nu,94.51107143,94.51107143,0.111111111,0.0,0.222222222,0.222222222,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
254507776-12203-nu,nu,90.05058824,90.05058824,0.052631579,0.0,0.526315789,0.526315789,0.195806791,22,1,580,1,3,4561,2785,0.223606798,0.0,0.0
773209643-11681-nu,nu,84.9,84.9,0.05,0.0,0.4,0.4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
773933188-11681-nu,nu,100.0,100.0,0.045454545,0.0,0.318181818,0.318181818,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
780864874-11681-nu,nu,64.10162162,64.10162162,0.025641026,0.0,0.641025641,0.692307692,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
773883486-11671-nu,nu,100.0,100.0,0.032258065,0.5,0.709677419,0.709677419,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
783777737-11660-nu,nu,92.66931818,92.66931818,0.029411765,0.0,0.558823529,0.588235294,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
727147388-11657-nu,nu,100.0,100.0,0.142857143,1.0,0.285714286,0.285714286,0.0,0,0,2,0,0,10307,2165,0.0,0.0,0.0
767204411-11650-nu,nu,95.7347619,95.7347619,0.017857143,0.0,0.464285714,0.464285714,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0
930558489-11650-nu,nu,92.17119565,92.17119565,0.041666667,0.5,0.541666667,0.541666667,0.0,0,0,2,0,0,10307,2165,0.0,0.0,0.0
924190487-11638-nu,nu,96.02461538,100.0,0.4,0.0,0.4,0.4,0.0,0,0,8,0,0,10307,2165,0.0,0.0,0.0
700268630-11614-nu,nu,84.81467391,84.81467391,0.041666667,0.5,0.666666667,0.666666667,0.0,0,0,6,1,4,10414,2182,0.0,0.0,0.0
700433911-11614-nu,nu,65.09704545,65.09704545,0.017241379,0.0,0.517241379,0.534482759,0.0,0,0,0,1,4,10305,2163,0.0,0.0,0.0
751509951-11614-nu,nu,94.3,94.3,0.1,0.0,0.3,0.3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
919599284-11614-nu,nu,56.21489726,56.21489726,0.012820513,0.0,0.615384615,0.615384615,0.0,0,0,0,0,0,10305,2163,0.0,0.0,0.0
761860993-11602-nu,nu,65.24892857,68.06618421,0.142857143,0.0,0.326530612,0.326530612,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
714686870-11602-nu,nu,79.5575,73.17,0.0,0.0,0.421052632,0.421052632,0.092433575,2,1,8,0,0,10301,2161,0.346410162,0.0,0.0
717078213-11602-nu,nu,57.55785714,57.55785714,0.034482759,0.0,0.655172414,0.655172414,0.066287552,0,0,2,0,0,10301,2161,0.377964473,0.0,0.0
717543595-11602-nu,nu,100.0,100.0,0.033333333,0.0,0.4,0.4,0.069325181,2,1,8,0,0,10301,2161,0.346410162,0.0,0.0
718754414-11602-nu,nu,89.6,89.6,0.05,0.0,0.55,0.6,0.211803183,2,1,8,0,0,10301,2161,0.346410162,0.0,0.0
906730992-11590-nu,nu,100.0,100.0,0.125,0.0,0.375,0.375,0.0,0,0,2,0,0,10300,2160,0.0,0.0,0.0
696958917-11590-nu,nu,95.84853448,95.84853448,0.025641026,0.0,0.230769231,0.230769231,0.059619917,1,1,285,1,7,10546,2171,0.420084025,0.0,0.0
696970610-11590-nu,nu,100.0,100.0,0.066666667,0.0,0.533333333,0.6,0.047861258,1,1,285,1,7,10546,2171,0.420084025,0.0,0.0
908344430-11590-nu,nu,74.865,80.77714286,0.333333333,0.0,0.333333333,0.333333333,0.0,0,0,1,0,0,10300,2160,0.0,0.0,0.0
897073817-11580-nu,nu,100.0,100.0,0.055555556,0.0,0.444444444,0.444444444,0.0,0,0,0,0,0,10300,2160,0.0,1.0,1.0
687767605-11580-nu,nu,94.3,94.3,0.111111111,1.0,0.444444444,0.444444444,0.0,0,0,2,1,1,10300,2160,0.0,0.0,0.0
881716564-11545-nu,nu,100.0,100.0,0.019607843,0.0,0.37254902,0.37254902,0.0,0,0,2,0,0,10210,2153,0.0,0.0,0.0
671641802-11545-nu,nu,87.99727273,87.99727273,0.090909091,0.0,0.454545455,0.545454545,0.181882637,1,1,8,1,29,10210,2153,0.261116484,0.0,0.0
871475519-11506-nu,nu,85.17846154,85.17846154,0.022222222,0.0,0.444444444,0.466666667,0.0,0,0,8,0,0,10200,2148,0.0,1.0,1.0
875907485-11506-nu,nu,84.16391509,84.16391509,0.017241379,0.0,0.482758621,0.5,0.0,0,0,2,0,0,10200,2148,0.0,0.0,0.0
703415104-11506-nu,nu,93.57977273,93.57977273,0.083333333,0.0,0.5,0.5,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
675948084-11480-nu,nu,56.97846154,56.97846154,0.033333333,0.0,0.4,0.4,0.046700307,8,1,32,1,52,10116,2145,1.0,1.0,1.0
651005537-11478-nu,nu,85.015,94.565,0.136363636,0.0,0.636363636,0.636363636,0.055555556,0,0,8,1,14,10082,2138,0.39223227,0.0,0.0
651008850-11478-nu,nu,89.89642857,89.89642857,0.066666667,0.0,0.466666667,0.466666667,0.0,0,0,8,1,14,10082,2138,0.39223227,0.0,0.0
850329106-11445-nu,nu,66.56038462,66.56038462,0.037037037,0.0,0.62962963,0.62962963,0.0,0,0,8,0,0,10071,2133,0.0,0.0,0.0
846981277-11445-nu,nu,100.0,100.0,0.071428571,0.5,0.428571429,0.428571429,0.0,0,0,8,0,0,10071,2133,0.0,1.0,1.0
637726926-11444-nu,nu,76.11323529,76.83421569,0.446808511,0.0,0.290780142,0.29787234,0.122592365,0,0,33,1,50,10193,2139,0.0,0.0,0.0
53663565-11395-nu,nu,78.87285714,66.4,0.375,0.0,0.25,0.25,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
53666676-11395-nu,nu,71.76785714,76.50153846,0.090909091,0.0,0.363636364,0.363636364,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
825172291-11374-nu,nu,100.0,100.0,0.05,0.0,0.5,0.5,0.0,0,0,8,0,0,9906,2118,0.0,1.0,1.0
841130974-11374-nu,nu,95.93928571,95.93928571,0.032258065,0.0,0.709677419,0.709677419,0.0,0,0,8,0,0,9906,2118,0.0,0.0,1.0
643820837-11374-nu,nu,84.845,84.845,0.058823529,1.0,0.470588235,0.470588235,0.0,18,1,8,1,50,9906,2118,0.0,0.0,0.0
742036753-11244-nu,nu,93.475,93.475,0.045454545,0.0,0.636363636,0.636363636,0.0,0,0,2,0,0,9625,2085,0.0,1.0,1.0
772892489-11208-nu,nu,94.995,94.995,0.083333333,1.0,0.416666667,0.416666667,0.0,0,0,1,0,0,9522,2078,0.0,1.0,1.0
570408830-11208-nu,nu,85.87671053,85.87671053,0.045454545,0.5,0.409090909,0.409090909,0.0,1,1,6,1,6,9540,2082,0.233549683,0.0,0.0
570412326-11208-nu,nu,91.78,91.78,0.090909091,0.5,0.545454545,0.545454545,0.0,1,1,6,1,6,9540,2082,0.233549683,0.0,0.0
503269731-11202-nu,nu,86.705,86.705,0.03125,0.0,0.375,0.375,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
486859954-11165-nu,nu,61.325,61.325,0.090909091,0.0,0.272727273,0.272727273,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
513820420-11165-nu,nu,84.17695652,92.86285714,0.081081081,0.0,0.162162162,0.162162162,0.083626778,0,0,285,1,49,9391,2072,1.0,0.0,0.0
